trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.001, 'e': 0.9185122844014574}",20,0,-170.74120590251079,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
87,False,"{'a': 0.001, 'e': 0.9175942312201509}",30,9,-8.59728297802005,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.001, 'e': 0.9166770956331523}",20,0,-54.613936997069196,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.001, 'e': 0.9157608767233256}",35,0,-92.13799121156555,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
90,False,"{'a': 0.001, 'e': 0.914845573574452}",20,0,-116.10059810270788,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.001, 'e': 0.9139311852712282}",25,10,-48.51578668339013,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 0}",1
92,False,"{'a': 0.001, 'e': 0.9130177108992658}",20,0,-234.58440874263792,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 4}",0
93,False,"{'a': 0.001, 'e': 0.9121051495450904}",25,0,-51.81285303150506,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.001, 'e': 0.9111935002961405}",25,10,-52.89110132749288,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 0}",1
95,False,"{'a': 0.001, 'e': 0.910282762240767}",25,0,-53.236601326897095,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
96,False,"{'a': 0.001, 'e': 0.9093729344682314}",20,0,-159.87073412454248,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
97,False,"{'a': 0.001, 'e': 0.9084640160687062}",30,0,-124.63247980358013,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
98,False,"{'a': 0.001, 'e': 0.9075560061332727}",25,3,-62.07355946580625,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
99,False,"{'a': 0.001, 'e': 0.9066489037539209}",20,0,-64.1444187644403,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.001, 'e': 0.9057427080235485}",25,0,-102.92083118263913,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
101,False,"{'a': 0.001, 'e': 0.9048374180359595}",35,0,-284.34015806659227,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 6}",0
102,False,"{'a': 0.001, 'e': 0.9039330328858641}",30,0,-132.7557647744082,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
103,False,"{'a': 0.001, 'e': 0.9030295516688768}",20,10,-19.53386476694446,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.001, 'e': 0.9021269734815165}",20,0,-68.284732438737,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
105,False,"{'a': 0.001, 'e': 0.9012252974212047}",25,17,-18.011579252119496,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.001, 'e': 0.9003245225862656}",30,0,-95.63616340086797,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.001, 'e': 0.899424648075924}",20,0,-111.01264355126446,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.001, 'e': 0.8985256729903055}",20,0,-203.78717597662015,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
